Month,Ozone
1944-10,293
1944-11,298
1944-12,320
1945-01,377
1945-02,359
1945-03,360
1945-04,373
1945-05,376
1945-06,351
1945-07,329
1945-08,327
1945-09,297
1945-10,288
1945-11,295
1945-12,313
1946-01,336
1946-02,352
1946-03,380
1946-04,361
1946-05,355
1946-06,344
1946-07,318
1946-08,307
1946-09,276
1946-10,291
1946-11,297
1946-12,316
1947-01,383
1947-02,397
1947-03,393
1947-04,369
1947-05,361
1947-06,347
1947-07,334
1947-08,324
1947-09,307
1947-10,296
1947-11,278
1947-12,312
1948-01,341
1948-02,371
1948-03,348
1948-04,374
1948-05,353
1948-06,345
1948-07,345
1948-08,311
1948-09,299
1948-10,281
1948-11,286
1948-12,321
1949-01,332
1949-02,365
1949-03,378
1949-04,357
1949-05,371
1949-06,354
1949-07,335
1949-08,321
1949-09,284
1949-10,272
1949-11,296
1949-12,292
1950-01,352
1950-02,365
1950-03,365
1950-04,382
1950-05,374
1950-06,354
1950-07,322
1950-08,316
1950-09,292
1950-10,288
1950-11,287
1950-12,340
1951-01,338
1951-02,402
1951-03,417
1951-04,397
1951-05,383
1951-06,364
1951-07,332
1951-08,321
1951-09,297
1951-10,298
1951-11,278
1951-12,311
1952-01,378
1952-02,384
1952-03,411
1952-04,386
1952-05,385
1952-06,359
1952-07,341
1952-08,320
1952-09,317
1952-10,297
1952-11,302
1952-12,332
1953-01,335
1953-02,375
1953-03,373
1953-04,383
1953-05,382
1953-06,359
1953-07,326
1953-08,317
1953-09,293
1953-10,280
1953-11,266
1953-12,332
1954-01,335
1954-02,375
1954-03,373
1954-04,415
1954-05,389
1954-06,362
1954-07,348
1954-08,329
1954-09,305
1954-10,285
1954-11,291
1954-12,284
1955-01,315
1955-02,375
1955-03,399
1955-04,374
1955-05,361
1955-06,351
1955-07,339
1955-08,332
1955-09,300
1955-10,292
1955-11,278
1955-12,317
1956-01,341
1956-02,402
1956-03,381
1956-04,395
1956-05,365
1956-06,360
1956-07,327
1956-08,308
1956-09,287
1956-10,284
1956-11,286
1956-12,312
1957-01,340
1957-02,342
1957-03,353
1957-04,375
1957-05,380
1957-06,349
1957-07,330
1957-08,321
1957-09,305
1957-10,279
1957-11,294
1957-12,322
1958-01,361
1958-02,351
1958-03,411
1958-04,417
1958-05,369
1958-06,369
1958-07,349
1958-08,330
1958-09,306
1958-10,312
1958-11,305
1958-12,326
1959-01,369
1959-02,367
1959-03,364
1959-04,390
1959-05,389
1959-06,373
1959-07,342
1959-08,330
1959-09,313
1959-10,294
1959-11,297
1959-12,328
1960-01,349
1960-02,397
1960-03,405
1960-04,400
1960-05,382
1960-06,353
1960-07,339
1960-08,315
1960-09,306
1960-10,299
1960-11,284
1960-12,332
1961-01,368
1961-02,333
1961-03,338
1961-04,365
1961-05,379
1961-06,349
1961-07,343
1961-08,322
1961-09,296
1961-10,288
1961-11,301
1961-12,304
1962-01,352
1962-02,362
1962-03,428
1962-04,400
1962-05,363
1962-06,349
1962-07,338
1962-08,302
1962-09,296
1962-10,271
1962-11,298
1962-12,309
1963-01,371
1963-02,408
1963-03,377
1963-04,381
1963-05,378
1963-06,352
1963-07,327
1963-08,310
1963-09,282
1963-10,273
1963-11,278
1963-12,293
1964-01,301
1964-02,335
1964-03,347
1964-04,378
1964-05,363
1964-06,330
1964-07,326
1964-08,323
1964-09,299
1964-10,288
1964-11,274
1964-12,310
1965-01,332
1965-02,390
1965-03,383
1965-04,385
1965-05,387
1965-06,345
1965-07,337
1965-08,318
1965-09,305
1965-10,275
1965-11,278
1965-12,305
1966-01,354
1966-02,338
1966-03,401
1966-04,380
1966-05,372
1966-06,345
1966-07,337
1966-08,326
1966-09,307
1966-10,282
1966-11,321
1966-12,319
1967-01,361
1967-02,362
1967-03,354
1967-04,374
1967-05,349
1967-06,358
1967-07,325
1967-08,317
1967-09,296
1967-10,273
1967-11,267
1967-12,304
1968-01,342
1968-02,383
1968-03,376
1968-04,379
1968-05,349
1968-06,351
1968-07,337
1968-08,335
1968-09,308
1968-10,275
1968-11,270
1968-12,331
1969-01,327
1969-02,419
1969-03,361
1969-04,393
1969-05,351
1969-06,364
1969-07,333
1969-08,333
1969-09,294
1969-10,281
1969-11,307
1969-12,345
1970-01,331
1970-02,417
1970-03,414
1970-04,419
1970-05,389
1970-06,360
1970-07,331
1970-08,323
1970-09,291
1970-10,278
1970-11,271
1970-12,309
1971-01,344
1971-02,349
1971-03,411
1971-04,364
1971-05,358
1971-06,358
1971-07,336
1971-08,309
1971-09,317
1971-10,278
1971-11,292
1971-12,306
